"Sales_U","Sales_USD","PctACV","FeaturePct","DisplayPct","Base_U","Base_USD","FnoD_U","FnoD_USD","FnoD_Pct","DnoF_U","DnoF_USD","DnoF_Pct","FandD_U","FandD_USD","FandD_Pct","PrDec_U","PrDec_USD","PrDec_Pct","Date"
0,0,100,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JAN0591.1"
0,0,100,100,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JAN1291.1"
0,0,100,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JAN1991.1"
0,0,100,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JAN2691.1"
0,0,100,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FEB0291.1"
0,0,100,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FEB0991.1"
0,0,100,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FEB1691.1"
0,0,100,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FEB2391.1"
0,0,100,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MAR0291.1"
0,0,100,100,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MAR0991.1"
0,0,100,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MAR1691.1"
0,0,100,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MAR2391.1"
0,0,100,100,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MAR3091.1"
0,0,100,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"APR0691.1"
0,0,100,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"APR1391.1"
0,0,100,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"APR2091.1"
23247,23036,100,0,19,20975,22144,0,0,0,9137,6834,19,0,0,0,0,0,0,"APR2791.1"
24131,24418,100,0,16,21501,22850,0,0,0,8961,7124,16,0,0,0,0,0,0,"MAY0491.1"
24195,24097,100,0,16,22504,23987,0,0,0,8105,6443,16,0,0,0,0,0,0,"MAY1191.1"
40862,41185,100,100,93,22761,24285,3371,3800,7,0,0,0,37491,37386,93,0,0,0,"MAY1891.1"
39193,41716,100,0,44,21990,23356,0,0,0,19877,20219,44,0,0,0,0,0,0,"MAY2591.1"
25571,27947,100,0,17,22612,25013,0,0,0,5660,5788,17,0,0,0,0,0,0,"JUN0191.1"
22546,25025,100,0,7,23204,25749,0,0,0,2117,2173,7,0,0,0,0,0,0,"JUN0891.1"
24283,26965,100,0,9,22795,25291,0,0,0,3532,3510,9,0,0,0,0,0,0,"JUN1591.1"
53147,51634,100,100,86,23056,25658,5778,5438,14,0,0,0,47369,46196,86,0,0,0,"JUN2291.1"
32220,36368,100,0,27,21490,23645,0,0,0,11179,12255,27,0,0,0,0,0,0,"JUN2991.1"
29931,33766,100,0,15,22884,25000,0,0,0,6934,6882,15,0,0,0,0,0,0,"JUL0691.1"
19987,22721,100,0,8,22918,26585,0,0,0,2654,2508,8,0,0,0,0,0,0,"JUL1391.1"
20905,24233,100,0,11,21231,24909,0,0,0,3906,3691,11,0,0,0,0,0,0,"JUL2091.1"
19816,23061,100,0,9,20336,23799,0,0,0,3199,3023,9,0,0,0,0,0,0,"JUL2791.1"
19610,22933,100,0,5,19522,22840,0,0,0,1451,1371,5,0,0,0,0,0,0,"AUG0391.1"
18849,22110,100,0,0,19572,22844,0,0,0,0,0,0,0,0,0,0,0,0,"AUG1091.1"
