"Sales_U","Sales_USD","PctACV","FeaturePct","DisplayPct","Base_U","Base_USD","FnoD_U","FnoD_USD","FnoD_Pct","DnoF_U","DnoF_USD","DnoF_Pct","FandD_U","FandD_USD","FandD_Pct","PrDec_U","PrDec_USD","PrDec_Pct","Date"
0,0,100,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JAN0591.1"
0,0,100,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JAN1291.1"
0,0,100,100,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JAN1991.1"
0,0,100,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JAN2691.1"
0,0,100,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FEB0291.1"
0,0,100,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FEB0991.1"
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FEB1691.1"
0,0,100,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FEB2391.1"
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MAR0291.1"
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MAR0991.1"
0,0,100,100,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MAR1691.1"
0,0,100,36,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MAR2391.1"
0,0,100,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MAR3091.1"
0,0,100,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"APR0691.1"
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"APR1391.1"
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"APR2091.1"
5560,5988,100,0,0,5796,6320,0,0,0,0,0,0,0,0,0,0,0,0,"APR2791.1"
5342,5815,100,0,0,6221,6769,0,0,0,0,0,0,0,0,0,0,0,0,"MAY0491.1"
13864,13792,100,0,79,6144,6702,0,0,0,10437,10008,79,0,0,0,0,0,0,"MAY1191.1"
10071,10769,100,0,39,5915,6436,0,0,0,5142,5002,39,0,0,0,0,0,0,"MAY1891.1"
9729,9945,100,0,40,6285,6915,0,0,0,5381,5320,40,0,0,0,0,0,0,"MAY2591.1"
8064,8906,100,0,20,5803,6343,0,0,0,1645,1852,20,0,0,0,0,0,0,"JUN0191.1"
5778,6424,100,0,8,6114,6871,0,0,0,704,911,8,0,0,0,0,0,0,"JUN0891.1"
6664,7471,100,0,8,5434,6053,0,0,0,674,873,8,0,0,0,0,0,0,"JUN1591.1"
4859,5372,100,0,13,5893,6574,0,0,0,724,899,13,0,0,0,0,0,0,"JUN2291.1"
11577,12397,100,100,48,5498,6104,4728,4939,52,0,0,0,6849,7458,48,0,0,0,"JUN2991.1"
15774,16879,100,100,30,5704,6233,9180,9927,70,0,0,0,6594,6952,30,0,0,0,"JUL0691.1"
9444,10846,100,0,27,5699,6226,0,0,0,4361,4649,27,0,0,0,0,0,0,"JUL1391.1"
8213,9570,100,0,22,5687,6530,0,0,0,3104,3644,22,0,0,0,0,0,0,"JUL2091.1"
6388,7541,100,0,12,5936,6940,0,0,0,1535,1799,12,0,0,0,0,0,0,"JUL2791.1"
6348,7432,100,0,2,5840,6864,0,0,0,113,155,2,0,0,0,0,0,0,"AUG0391.1"
6188,7303,100,0,0,5991,7025,0,0,0,0,0,0,0,0,0,0,0,0,"AUG1091.1"
19104,18807,100,100,47,6049,7114,8292,8094,53,0,0,0,10812,10713,47,0,0,0,"AUG1791.1"
11573,14052,100,0,19,5843,6831,0,0,0,3284,3774,19,0,0,0,0,0,0,"AUG2491.1"
5553,6374,100,0,0,6000,7132,0,0,0,0,0,0,0,0,0,0,0,0,"AUG3191.1"
5383,6382,100,0,3,5936,6995,0,0,0,347,443,3,0,0,0,0,0,0,"SEP0791.1"
5860,7035,100,0,0,5944,7018,0,0,0,0,0,0,0,0,0,0,0,0,"SEP1491.1"
7246,8103,100,0,8,6082,7193,0,0,0,540,589,8,0,0,0,0,0,0,"SEP2191.1"
18576,18320,100,100,43,6181,7287,8295,8168,57,0,0,0,10281,10152,43,0,0,0,"SEP2891.1"
9441,11449,100,0,18,5814,6854,0,0,0,2068,2337,18,0,0,0,0,0,0,"OCT0591.1"
6061,7140,100,0,6,5925,6982,0,0,0,422,580,6,0,0,0,0,0,0,"OCT1291.1"
5882,6902,100,0,0,5458,6387,0,0,0,0,0,0,0,0,0,0,0,0,"OCT1991.1"
6118,6933,100,0,4,5465,6369,0,0,0,496,593,4,0,0,0,0,0,0,"OCT2691.1"
8781,9945,100,0,7,5345,6262,0,0,0,911,1088,7,0,0,0,0,0,0,"NOV0291.1"
7403,8298,100,0,3,5272,6179,0,0,0,446,533,3,0,0,0,0,0,0,"NOV0991.1"
4347,5081,100,0,0,5509,6440,0,0,0,0,0,0,0,0,0,0,0,0,"NOV1691.1"
14731,13569,100,100,37,5071,5935,6397,5819,63,0,0,0,8335,7750,37,0,0,0,"NOV2391.1"
16365,15538,100,0,28,5071,5935,0,0,0,7620,7335,28,0,0,0,0,0,0,"NOV3091.1"
5007,5809,100,0,2,5224,6125,0,0,0,164,209,2,0,0,0,0,0,0,"DEC0791.1"
5262,6143,98,0,2,5291,6171,0,0,0,215,296,2,0,0,0,0,0,0,"DEC1491.1"
20158,18840,100,100,19,5420,6330,13534,12635,81,0,0,0,6624,6204,19,0,0,0,"DEC2191.1"
13189,13226,100,0,7,5325,6241,0,0,0,1643,1591,7,0,0,0,0,0,0,"DEC2891.1"
10130,9955,100,100,0,5430,6339,10130,9955,100,0,0,0,0,0,0,0,0,0,"JAN0492.1"
7547,8340,100,0,6,5362,6272,0,0,0,608,741,6,0,0,0,0,0,0,"JAN1192.1"
5922,6834,100,0,6,5399,6353,0,0,0,694,691,6,0,0,0,0,0,0,"JAN1892.1"
10882,11857,100,100,25,5409,6389,7144,7997,75,0,0,0,3738,3860,25,0,0,0,"JAN2592.1"
7989,9004,100,0,8,4979,5882,0,0,0,1623,1666,8,0,0,0,0,0,0,"FEB0192.1"
4968,5682,100,0,5,5363,6326,0,0,0,768,726,5,0,0,0,0,0,0,"FEB0892.1"
4199,4943,100,0,4,5507,6573,0,0,0,389,418,4,0,0,0,0,0,0,"FEB1592.1"
5937,7094,100,0,0,5772,6821,0,0,0,0,0,0,0,0,0,0,0,0,"FEB2292.1"
16500,16023,100,100,42,6255,7340,7605,7284,58,0,0,0,8896,8739,42,0,0,0,"FEB2992.1"
11439,12793,100,0,16,6033,7080,0,0,0,3005,3181,16,0,0,0,0,0,0,"MAR0792.1"
8214,8841,100,0,4,6200,7199,0,0,0,313,373,4,0,0,0,0,0,0,"MAR1492.1"
7284,8203,100,0,3,5837,6706,0,0,0,673,700,3,0,0,0,0,0,0,"MAR2192.1"
4485,5218,100,0,0,6385,7298,0,0,0,0,0,0,0,0,0,0,0,0,"MAR2892.1"
5064,5858,100,0,3,6165,7031,0,0,0,421,452,3,0,0,0,0,0,0,"APR0492.1"
13411,12933,100,100,10,6061,6904,10560,10203,90,0,0,0,2852,2730,10,0,0,0,"APR1192.1"
11052,11792,100,0,0,5842,6639,0,0,0,0,0,0,0,0,0,0,0,0,"APR1892.1"
6226,7142,100,0,0,6288,7130,0,0,0,0,0,0,0,0,0,0,0,0,"APR2592.1"
6990,8130,100,0,3,6615,7611,0,0,0,649,698,3,0,0,0,0,0,0,"MAY0292.1"
7785,9073,100,0,3,6543,7595,0,0,0,505,543,3,0,0,0,0,0,0,"MAY0992.1"
7170,8334,100,0,3,6643,7718,0,0,0,529,569,3,0,0,0,0,0,0,"MAY1692.1"
12438,13391,100,100,17,6640,7725,9024,9769,83,0,0,0,3414,3622,17,0,0,0,"MAY2392.1"
6684,7452,100,0,0,6568,7668,0,0,0,0,0,0,0,0,0,0,0,0,"MAY3092.1"
6028,7023,100,0,4,6554,7654,0,0,0,457,491,4,0,0,0,0,0,0,"JUN0692.1"
7885,8653,100,0,0,6134,7189,0,0,0,0,0,0,0,0,0,0,0,0,"JUN1392.1"
6822,7704,100,0,0,5929,6928,0,0,0,0,0,0,0,0,0,0,0,0,"JUN2092.1"
20857,20585,100,100,22,5974,6984,13145,12911,78,0,0,0,7712,7674,22,0,0,0,"JUN2792.1"
25596,25274,100,100,27,6105,7125,12998,12739,73,0,0,0,12598,12535,27,0,0,0,"JUL0492.1"
7676,8659,100,0,0,6012,7000,0,0,0,0,0,0,0,0,0,0,0,0,"JUL1192.1"
4490,5154,100,0,0,6387,7469,0,0,0,0,0,0,0,0,0,0,0,0,"JUL1892.1"
6181,7208,100,0,0,6284,7396,0,0,0,0,0,0,0,0,0,0,0,0,"JUL2592.1"
7354,8269,100,100,3,6388,7492,7034,7885,97,0,0,0,321,383,3,0,0,0,"AUG0192.1"
7169,7982,100,0,0,6361,7465,0,0,0,0,0,0,0,0,0,0,0,0,"AUG0892.1"
6679,7819,100,0,0,5759,6708,0,0,0,0,0,0,0,0,0,0,0,0,"AUG1592.1"
6076,7161,100,0,0,5781,6733,0,0,0,0,0,0,0,0,0,0,0,0,"AUG2292.1"
6065,6837,100,0,4,5261,6181,0,0,0,760,718,4,0,0,0,0,0,0,"AUG2992.1"
137463,68044,100,100,78,5156,6018,29387,14547,22,0,0,0,108076,53497,78,0,0,0,"SEP0592.1"
44240,36297,100,0,5,5169,6035,0,0,0,4660,3719,5,0,0,0,0,0,0,"SEP1292.1"
6421,7221,100,100,17,5153,6014,4988,5509,83,0,0,0,1433,1712,17,0,0,0,"SEP1992.1"
5864,6627,100,0,5,5113,5965,0,0,0,400,478,5,0,0,0,0,0,0,"SEP2692.1"
4190,4942,100,0,0,4983,5844,0,0,0,0,0,0,0,0,0,0,0,0,"OCT0392.1"
4155,4824,100,0,0,4864,5696,0,0,0,0,0,0,0,0,0,0,0,0,"OCT1092.1"
6269,7155,100,100,9,4706,5475,5316,6015,91,0,0,0,954,1140,9,0,0,0,"OCT1792.1"
7341,8370,100,0,12,4709,5522,0,0,0,1320,1577,12,0,0,0,0,0,0,"OCT2492.1"
6794,7764,100,0,7,4918,5773,0,0,0,691,826,7,0,0,0,0,0,0,"OCT3192.1"
5377,6325,100,0,0,4804,5631,0,0,0,0,0,0,0,0,0,0,0,0,"NOV0792.1"
4978,5926,100,0,0,5045,5874,0,0,0,0,0,0,0,0,0,0,0,0,"NOV1492.1"
24591,25351,100,0,61,4918,5742,0,0,0,18299,18062,61,0,0,0,0,0,0,"NOV2192.1"
26307,22230,100,100,50,4986,5807,8699,7350,50,0,0,0,17609,14879,50,0,0,0,"NOV2892.1"
