"Sales_U","Sales_USD","pctACV","Featurepct","Displaypct","Base_U","Base_USD","FnoD_U","FnoD_USD","FnoD_pct","DnoF_U","DnoF_USD","DnoF_pct","FandD_U","FandD_USD","FandD_pct","PrDec_U","PrDec_USD","PrDec_pct","Date"
302306,316739,98,6,5,284810,308095,20550,18968,3,13461,12522,2,27165,24391,2,0,0,0,"JAN0591.1"
287260,296130,98,8,8,273282,296736,17559,15865,2,10986,10054,2,51159,47491,6,0,0,0,"JAN1291.1"
307435,316440,98,9,7,257933,280396,27648,25823,6,30065,28070,4,29966,25426,3,0,0,0,"JAN1991.1"
294160,309993,98,9,8,256377,278437,36365,38618,8,31255,29949,6,16093,14500,2,0,0,0,"JAN2691.1"
300197,311884,98,14,8,255358,277398,46580,47345,11,31565,31088,6,21083,18761,2,0,0,0,"FEB0291.1"
319693,331283,98,13,7,255340,276702,54830,55207,10,24224,23878,5,24944,23842,3,0,0,0,"FEB0991.1"
289370,300648,98,9,7,256799,277706,34957,33904,8,36447,32805,6,6129,5905,1,0,0,0,"FEB1691.1"
301329,303807,98,4,7,261869,282486,8271,8274,2,28375,27174,5,36882,23599,2,0,0,0,"FEB2391.1"
304963,316763,98,4,8,262243,283524,7284,6944,2,42373,40576,6,28901,25550,2,0,0,0,"MAR0291.1"
304127,317463,98,10,10,270246,292043,19106,19146,5,24446,23014,5,49060,46783,6,0,0,0,"MAR0991.1"
299868,313590,99,5,5,283270,306607,23313,20714,5,27537,25302,5,2664,2518,0,0,0,0,"MAR1691.1"
335483,349046,99,10,5,295457,320654,40270,38048,8,16983,16598,3,16673,15304,2,0,0,0,"MAR2391.1"
432755,454133,99,12,8,287752,312031,51101,50851,7,23797,24614,3,50037,48696,5,0,0,0,"MAR3091.1"
348651,360838,99,6,4,304767,330530,29377,26919,6,20108,19146,3,23761,17455,1,0,0,0,"APR0691.1"
320465,337647,99,6,4,298840,324079,18945,18797,5,22022,20012,3,6430,6286,1,0,0,0,"APR1391.1"
296988,314060,98,2,4,301436,326069,5878,5729,1,20343,19498,4,892,843,0,0,0,0,"APR2091.1"
311504,328343,99,2,3,304979,331279,6719,7014,2,23540,21051,3,0,0,0,0,0,0,"APR2791.1"
365760,377772,99,7,6,313104,341086,14081,15264,4,21256,18890,3,53121,44506,3,0,0,0,"MAY0491.1"
343422,363768,99,7,3,327358,356985,26322,26785,6,22787,20891,3,5512,5213,0,0,0,0,"MAY1191.1"
445409,451405,99,22,13,338654,369288,78064,75882,13,27863,26575,4,104280,97378,9,0,0,0,"MAY1891.1"
471983,495404,99,9,9,329758,359108,54529,53841,7,51836,53943,6,25454,24082,2,0,0,0,"MAY2591.1"
413248,431907,99,10,8,345816,378599,43213,43929,8,49254,49377,7,24009,23245,2,0,0,0,"JUN0191.1"
431974,436525,99,6,8,346916,380281,44818,33846,4,53836,55311,6,35839,30137,2,0,0,0,"JUN0891.1"
422852,446031,99,6,10,344379,375629,30137,27578,4,43300,45343,7,32334,31250,3,0,0,0,"JUN1591.1"
459204,469022,99,13,14,345243,377495,49297,44167,5,48787,48242,6,91786,86269,8,0,0,0,"JUN2291.1"
460270,483506,99,8,10,349070,380586,43934,42564,7,64183,63657,9,27121,26589,2,0,0,0,"JUN2991.1"
504945,535345,99,10,12,341010,372026,61508,63236,8,84918,86530,9,26638,26281,3,0,0,0,"JUL0691.1"
356481,383830,99,3,8,342424,376037,16108,14520,3,42797,43704,8,5675,5431,0,0,0,0,"JUL1391.1"
365183,397833,99,3,6,330561,364279,14637,13129,2,25109,26348,4,17678,14810,1,0,0,0,"JUL2091.1"
368845,390616,98,3,6,325558,362587,21370,19731,2,59686,49463,6,7010,6273,1,0,0,0,"JUL2791.1"
388670,421501,99,4,6,315995,355283,15064,14720,2,33882,31142,4,27155,24645,3,0,0,0,"AUG0391.1"
328830,366643,98,1,4,313019,353635,7821,7852,1,25483,24862,3,1795,1786,0,0,0,0,"AUG1091.1"
309222,346749,99,0,3,309391,350255,2505,2579,0,20371,20010,3,0,0,0,0,0,0,"AUG1791.1"
327039,362205,98,6,5,308943,349728,26653,27611,5,20342,19964,3,12978,12966,2,0,0,0,"AUG2491.1"
418397,455985,99,12,8,296206,335871,47696,47383,8,23742,23855,3,53085,53136,4,0,0,0,"AUG3191.1"
352359,390810,99,7,6,296697,336552,28827,27624,5,28881,29939,4,18252,18203,2,0,0,0,"SEP0791.1"
311445,339995,98,5,4,281625,318947,13834,13540,3,10007,11421,2,32029,26676,2,0,0,0,"SEP1491.1"
270909,298842,99,1,3,271350,306677,7321,7056,1,22963,20866,3,0,0,0,0,0,0,"SEP2191.1"
256133,285482,99,4,3,262052,296127,14147,15110,3,9227,9604,2,8914,8100,1,0,0,0,"SEP2891.1"
273709,304792,99,2,3,251205,284658,11988,12078,2,11843,11926,2,7950,6685,1,0,0,0,"OCT0591.1"
247127,278933,98,1,2,250992,283996,1420,1488,0,11311,11752,2,2261,2387,0,0,0,0,"OCT1291.1"
242213,274408,99,1,2,250024,283870,1350,1509,1,7544,8089,2,0,0,0,0,0,0,"OCT1991.1"
234448,267132,99,0,1,256126,292146,603,500,0,4514,5078,1,0,0,0,0,0,0,"OCT2691.1"
254578,289044,98,0,2,263465,300653,388,386,0,5991,6407,2,744,814,0,0,0,0,"NOV0291.1"
371004,381387,99,9,4,281987,322141,41545,41170,8,11387,11924,2,88633,69290,2,0,0,0,"NOV0991.1"
401886,424254,99,13,10,292072,333259,30108,29938,6,26058,28819,3,97527,86104,7,0,0,0,"NOV1691.1"
462159,478148,99,8,8,305043,348903,73877,64989,6,50484,51010,6,46824,40109,2,0,0,0,"NOV2391.1"
497259,514737,99,8,8,307157,351502,55692,51589,6,63452,60369,6,33980,30803,2,0,0,0,"NOV3091.1"
430693,444773,98,20,10,325021,370666,93606,93595,14,26711,27956,5,67057,59635,5,0,0,0,"DEC0791.1"
380640,406418,99,2,8,334390,381676,13012,7597,1,43581,46782,7,14274,12166,1,0,0,0,"DEC1491.1"
492998,549682,99,3,6,317502,363599,11082,11724,2,83038,81065,5,4011,4096,1,0,0,0,"DEC2191.1"
386109,441642,98,3,4,319705,366233,14938,19533,3,29658,29597,4,7445,8113,1,0,0,0,"DEC2891.1"
302767,345332,99,1,4,306193,351884,1670,1709,1,24150,24171,4,3115,2493,0,0,0,0,"JAN0492.1"
260282,296338,99,1,3,284023,326675,656,691,0,18915,19503,3,2961,2320,0,0,0,0,"JAN1192.1"
271872,304981,98,9,6,267437,307439,21248,23319,5,18506,19191,3,25368,26546,3,0,0,0,"JAN1892.1"
310015,336747,98,13,6,258572,297542,52156,55420,10,14954,15446,3,41549,38173,3,0,0,0,"JAN2592.1"
266406,297513,98,6,5,266135,306959,15579,16471,5,23212,24060,4,10339,9511,1,0,0,0,"FEB0192.1"
358188,395279,98,12,11,255518,295924,34885,35359,6,22593,23188,4,59429,60877,7,0,0,0,"FEB0892.1"
297549,333604,99,5,7,266047,308180,16072,17465,4,32898,34763,6,15165,16263,2,0,0,0,"FEB1592.1"
268970,306624,98,2,4,266798,308444,5609,5930,1,15171,16796,4,3691,3267,0,0,0,0,"FEB2292.1"
273661,309807,99,2,3,271984,315657,7602,7576,1,13870,14784,3,4992,4827,1,0,0,0,"FEB2992.1"
345307,373048,99,5,4,270875,313856,23731,20467,3,17048,17370,2,37580,29391,2,0,0,0,"MAR0792.1"
287816,327230,99,2,2,275103,318977,10011,10947,2,8975,9897,2,0,0,0,0,0,0,"MAR1492.1"
320272,357942,99,5,3,279060,322776,19288,20547,3,5093,6097,1,43837,42826,2,0,0,0,"MAR2192.1"
305190,339289,98,9,7,281954,327002,26382,27240,4,10253,10601,2,39763,42849,5,0,0,0,"MAR2892.1"
332108,361000,99,7,5,293778,340282,31934,26767,7,42247,43308,5,4319,4270,0,0,0,0,"APR0492.1"
345455,384180,99,8,3,305927,352890,30190,32119,6,20123,20533,2,14878,13414,1,0,0,0,"APR1192.1"
492236,539593,99,17,10,298755,345809,72598,75700,10,16234,17976,2,93913,95409,8,0,0,0,"APR1892.1"
298295,330910,98,2,5,325549,375705,10926,10991,2,23917,25118,4,8242,8075,1,0,0,0,"APR2592.1"
337654,375695,99,7,3,325643,374961,40273,39718,5,8786,9133,1,12162,12458,1,0,0,0,"MAY0292.1"
356906,404231,100,0,2,334629,385743,1316,1340,0,12590,12959,2,0,0,0,0,0,0,"MAY0992.1"
414209,454675,98,8,4,347398,400037,40729,39099,5,14747,15038,1,38593,41091,3,0,0,0,"MAY1692.1"
643756,687153,99,21,14,345013,397720,116552,118256,13,78459,83475,6,143442,136751,8,0,0,0,"MAY2392.1"
437075,480319,99,17,12,357350,411826,54242,56562,10,43933,46789,5,60782,64311,7,0,0,0,"MAY3092.1"
465718,503361,99,14,11,354703,408778,64333,61954,10,54956,56708,7,59319,57967,4,0,0,0,"JUN0692.1"
389645,436489,99,9,6,354051,405881,37964,39485,9,38496,40198,6,5158,5014,0,0,0,0,"JUN1392.1"
387601,434521,99,5,4,343289,393131,22618,22436,4,22053,23596,3,11878,11806,1,0,0,0,"JUN2092.1"
344753,381319,99,2,4,357558,409283,7341,7456,2,22711,22452,4,5273,5526,0,0,0,0,"JUN2792.1"
561294,603571,99,22,10,331057,378375,134618,133870,15,35745,37509,4,80205,79705,6,0,0,0,"JUL0492.1"
424575,456863,99,17,12,346185,395177,66294,65859,10,25077,27341,4,80434,77675,8,0,0,0,"JUL1192.1"
377983,409209,97,10,8,326577,371689,33589,31834,5,28899,31250,4,45066,42221,4,0,0,0,"JUL1892.1"
