"Sales_U","Sales_USD","pctACV","Featurepct","Displaypct","Base_U","Base_USD","FnoD_U","FnoD_USD","FnoD_pct","DnoF_U","DnoF_USD","DnoF_pct","FandD_U","FandD_USD","FandD_pct","PrDec_U","PrDec_USD","PrDec_pct","Date"
124885,129350,80,2,6,99118,107564,3785,3747,2,20319,17312,5,246,245,0,0,0,0,"JAN0591.1"
105285,107408,81,3,4,99448,108234,8295,7134,3,14254,11616,4,1079,1182,0,0,0,0,"JAN1291.1"
138363,136313,82,21,7,98685,107543,32702,31789,16,13009,9852,3,22513,19692,5,0,0,0,"JAN1991.1"
111494,113805,81,14,6,97695,106413,20610,20066,12,13864,12462,4,8588,7469,2,0,0,0,"JAN2691.1"
110686,113761,80,4,6,95982,104394,9446,8552,4,20827,18640,6,1441,1074,0,0,0,0,"FEB0291.1"
117199,121647,79,4,5,95196,103865,16115,15517,3,9144,8596,3,6277,6145,1,0,0,0,"FEB0991.1"
118615,122548,82,6,4,98798,107724,10420,10162,5,6988,7391,3,8557,6612,1,0,0,0,"FEB1691.1"
118847,125338,83,4,4,100864,109998,13803,13717,4,8576,9242,4,2328,2241,1,0,0,0,"FEB2391.1"
127952,135556,85,8,7,103233,112549,14997,15314,6,12405,12614,4,7444,7453,2,0,0,0,"MAR0291.1"
127798,133990,86,4,5,107395,116852,12663,12763,4,16732,16557,5,2781,2625,0,0,0,0,"MAR0991.1"
148744,152099,86,13,6,109240,118182,30588,29222,10,14800,14568,4,15469,14327,2,0,0,0,"MAR1691.1"
131981,136197,89,7,6,118460,128470,11862,11104,6,18774,17994,4,7360,6334,1,0,0,0,"MAR2391.1"
182559,191517,92,14,5,117332,127743,32326,32722,13,16424,15326,4,3836,3850,1,0,0,0,"MAR3091.1"
167607,169594,94,4,3,125078,135915,18472,17252,4,19336,13438,3,410,449,0,0,0,0,"APR0691.1"
139220,147887,94,3,2,124308,135334,8310,8184,3,5938,5657,2,106,100,0,0,0,0,"APR1391.1"
135372,142918,94,4,2,125844,137287,9438,8754,4,6821,6379,2,5641,4238,1,0,0,0,"APR2091.1"
136894,146856,96,5,4,128961,140964,7261,7228,4,9799,9923,3,4033,3790,1,0,0,0,"APR2791.1"
149846,161695,97,2,2,130159,143159,5913,5288,2,9227,9737,2,0,0,0,0,0,0,"MAY0491.1"
163378,174244,97,2,7,131657,145133,2352,2254,2,16873,16980,6,14412,12301,1,0,0,0,"MAY1191.1"
146728,158299,95,5,4,130874,144152,11873,11997,5,18646,18966,4,1661,1652,0,0,0,0,"MAY1891.1"
157598,169047,91,12,6,125539,138633,21034,21715,10,19889,19614,5,5537,6147,1,0,0,0,"MAY2591.1"
134317,144103,86,2,5,120787,133480,3098,2735,2,20809,19881,5,0,0,0,0,0,0,"JUN0191.1"
124384,135156,81,1,3,113800,126408,2076,1954,1,13354,12506,3,0,0,0,0,0,0,"JUN0891.1"
125264,135726,79,3,2,109110,121777,9626,8031,2,7143,7182,2,2135,1793,0,0,0,0,"JUN1591.1"
106087,117485,80,1,3,112011,126265,1748,1423,1,8663,8666,3,275,246,0,0,0,0,"JUN2291.1"
133226,145080,78,12,6,108586,123114,19596,21055,9,13942,13451,3,8841,9283,3,0,0,0,"JUN2991.1"
172272,182624,77,16,6,104593,118889,35431,35053,13,16445,14799,3,16986,16456,3,0,0,0,"JUL0691.1"
116089,128921,78,2,6,105910,120380,1559,1454,1,15975,16089,4,3961,3777,1,0,0,0,"JUL1391.1"
107093,120168,78,2,4,104087,118608,2530,2684,2,13489,14018,4,0,0,0,0,0,0,"JUL2091.1"
105153,119201,77,1,3,104049,119549,3155,2638,1,8208,8564,3,0,0,0,0,0,0,"JUL2791.1"
115674,131766,80,4,2,104407,120366,8736,9532,3,6540,6399,2,1358,1160,0,0,0,0,"AUG0391.1"
115628,128833,79,3,2,104575,121275,6572,5498,2,4003,4415,2,5987,4949,1,0,0,0,"AUG1091.1"
132864,147371,81,9,5,107083,124021,17240,17947,6,6956,7956,2,14408,14239,3,0,0,0,"AUG1791.1"
117772,134727,84,3,3,113032,130811,3171,3502,3,7022,7689,2,1952,1956,0,0,0,0,"AUG2491.1"
159161,176483,86,15,3,112515,130120,35382,38093,13,5022,5553,2,5718,5698,1,0,0,0,"AUG3191.1"
137864,155221,87,5,3,113890,132214,13252,14081,5,6647,6999,2,1859,2059,0,0,0,0,"SEP0791.1"
128183,144816,88,4,2,112910,131139,14033,15438,3,3938,3979,2,2644,2799,0,0,0,0,"SEP1491.1"
104327,118729,87,3,2,109213,126713,4190,4070,3,3640,4129,2,333,348,0,0,0,0,"SEP2191.1"
117468,130711,86,12,5,106388,123407,19302,20228,9,2223,2361,1,15197,15273,3,0,0,0,"SEP2891.1"
132344,141608,90,5,3,107282,124527,19533,15701,5,7038,7768,3,6096,3328,0,0,0,0,"OCT0591.1"
122698,139003,90,6,3,110670,128072,11048,12389,5,6433,7095,2,2600,2987,1,0,0,0,"OCT1291.1"
123145,140989,91,2,2,108886,126016,3291,3805,2,4227,4528,2,367,345,0,0,0,0,"OCT1991.1"
120775,135539,91,5,3,112100,130016,7559,9086,4,5783,6252,2,5686,4183,1,0,0,0,"OCT2691.1"
124522,141877,93,2,2,115498,134293,6466,7013,2,5749,6562,2,0,0,0,0,0,0,"NOV0291.1"
129720,147660,92,4,2,115130,133737,10434,12232,4,4383,4596,2,3267,3792,1,0,0,0,"NOV0991.1"
121330,134075,93,4,2,122766,141939,11697,10892,4,4798,4364,2,1990,1529,0,0,0,0,"NOV1691.1"
174175,187461,93,18,6,122661,141810,31102,31560,13,3060,3213,1,22974,21240,5,0,0,0,"NOV2391.1"
179993,190805,95,9,5,122776,142397,17653,16691,7,13636,13608,3,4024,3311,1,0,0,0,"NOV3091.1"
135794,145091,94,4,2,133199,153457,10836,9785,3,2571,2924,1,7868,6822,1,0,0,0,"DEC0791.1"
147156,162385,95,9,4,136840,158367,25178,24942,9,10944,10862,3,5450,4792,1,0,0,0,"DEC1491.1"
250819,269677,96,21,5,135632,157193,54068,56810,18,20252,15775,2,23293,22183,3,0,0,0,"DEC2191.1"
195663,215501,96,3,4,138455,160292,8039,8063,3,16053,15646,4,0,0,0,0,0,0,"DEC2891.1"
152833,171868,95,8,3,137418,158652,13966,13991,7,11845,12006,3,199,188,0,0,0,0,"JAN0492.1"
146791,164923,94,1,3,133862,154243,4888,4428,1,17426,17600,3,0,0,0,0,0,0,"JAN1192.1"
163850,183460,96,7,3,129950,150384,19148,19470,6,10470,10649,2,10180,10424,1,0,0,0,"JAN1892.1"
151696,169242,96,20,6,128824,149825,32844,34330,17,9319,10558,3,11345,11418,3,0,0,0,"JAN2592.1"
133198,150880,96,2,4,124033,144051,3692,3683,2,13205,14299,4,4745,5106,1,0,0,0,"FEB0192.1"
122976,139358,97,0,4,122464,142457,1311,1149,0,16399,17514,4,286,284,0,0,0,0,"FEB0892.1"
122514,139051,97,2,3,121418,140793,5548,6271,2,11221,11667,3,0,0,0,0,0,0,"FEB1592.1"
121964,132746,94,6,3,120417,139130,16888,13910,6,6343,6631,3,2845,1614,0,0,0,0,"FEB2292.1"
163999,174971,96,12,7,123194,142990,24304,22904,8,11406,11778,3,25277,23632,4,0,0,0,"FEB2992.1"
148046,167882,96,7,3,124533,144172,17736,20439,7,9757,10562,3,1780,2164,0,0,0,0,"MAR0792.1"
139178,157870,96,3,3,127332,147460,5711,6362,3,8348,9023,3,1959,2235,0,0,0,0,"MAR1492.1"
131292,147838,96,4,3,132043,152388,10253,10233,4,5562,6107,3,2574,2221,0,0,0,0,"MAR2192.1"
147612,163676,96,5,4,135157,155921,10347,10421,4,6734,7520,3,9289,7266,1,0,0,0,"MAR2892.1"
158572,179561,96,7,3,137328,158250,15122,15143,7,8578,9687,3,1773,1764,0,0,0,0,"APR0492.1"
172929,188491,97,12,3,149844,173106,27013,26528,11,8112,9026,2,16806,15265,1,0,0,0,"APR1192.1"
214812,243632,98,4,2,142267,165192,12047,12286,4,15395,15934,2,82,89,0,0,0,0,"APR1892.1"
164925,192342,98,8,4,157794,183255,24159,30551,7,8770,9691,3,4191,5050,1,0,0,0,"APR2592.1"
180673,203694,97,6,6,149242,172681,18811,19440,5,8960,10158,4,10962,10908,2,0,0,0,"MAY0292.1"
194018,216372,97,7,7,149053,172860,26285,26038,5,13272,15088,5,11428,10633,2,0,0,0,"MAY0992.1"
174295,195555,98,5,5,150673,174819,15302,15076,4,13881,15462,4,6830,6128,1,0,0,0,"MAY1692.1"
206829,225800,98,17,7,148299,172397,49335,46418,15,12480,13850,4,13647,14053,3,0,0,0,"MAY2392.1"
153948,174456,98,7,5,152148,176886,14401,15547,6,13059,14120,4,4174,4521,1,0,0,0,"MAY3092.1"
189631,211053,98,6,8,148446,172747,13525,13258,2,17130,18653,4,19250,19507,4,0,0,0,"JUN0692.1"
165597,189097,98,2,6,150373,175042,4699,5440,2,16177,17578,5,1350,1613,0,0,0,0,"JUN1392.1"
178684,196954,98,9,7,154114,178250,21862,21563,8,14716,16217,6,13848,11875,1,0,0,0,"JUN2092.1"
181434,199512,97,15,8,157626,182193,31759,31849,11,13561,14231,4,18108,18093,4,0,0,0,"JUN2792.1"
253185,281319,98,13,7,147441,170995,34950,38498,10,19541,20807,5,17592,17591,2,0,0,0,"JUL0492.1"
196780,217568,98,8,6,156790,180805,24037,24457,6,20934,22513,5,11748,10737,1,0,0,0,"JUL1192.1"
164418,186803,98,6,5,150843,174065,17016,18723,6,17115,18848,5,2168,2221,1,0,0,0,"JUL1892.1"
160778,180335,97,3,4,149101,172224,6687,7410,2,13163,14661,4,9178,9073,0,0,0,0,"JUL2592.1"
163251,184513,97,9,4,145338,167352,16719,18521,8,10918,12492,3,2325,2487,1,0,0,0,"AUG0192.1"
164180,185986,98,2,4,145246,167385,6152,6352,2,11942,13290,4,948,1038,0,0,0,0,"AUG0892.1"
162433,184228,98,2,3,142188,163754,8390,8297,2,9914,11070,3,1274,1457,0,0,0,0,"AUG1592.1"
160605,180057,97,3,4,137674,158750,9365,8739,2,7420,8320,3,7228,7495,1,0,0,0,"AUG2292.1"
191456,201510,97,13,7,134031,154405,37239,35591,10,10287,11720,4,31999,28080,3,0,0,0,"AUG2992.1"
398276,306251,97,24,14,126502,145788,89146,66438,14,16099,17153,5,181033,95293,9,0,0,0,"SEP0592.1"
206288,210361,96,4,7,121632,139870,22738,21098,3,21040,21297,6,11338,11216,1,0,0,0,"SEP1292.1"
126158,140789,95,14,6,115036,132364,22521,24132,13,16342,17365,5,1410,1684,1,0,0,0,"SEP1992.1"
106190,119280,95,2,5,111558,128116,3687,3679,2,9104,9930,4,477,509,0,0,0,0,"SEP2692.1"
114016,128241,95,3,4,109027,125309,6451,6851,3,10440,11022,4,0,0,0,0,0,0,"OCT0392.1"
118891,132586,95,0,3,105765,121639,3966,3351,0,7886,8529,3,0,0,0,0,0,0,"OCT1092.1"
122654,134419,94,7,4,104671,120049,8804,9020,6,7840,8614,3,8478,7493,1,0,0,0,"OCT1792.1"
113796,128289,94,3,4,105038,120806,11009,10463,3,11226,13222,3,570,511,0,0,0,0,"OCT2492.1"
116289,131752,96,2,3,110411,126949,2165,2074,2,14341,14851,3,195,243,0,0,0,0,"OCT3192.1"
140538,151064,95,5,3,110942,127252,12952,12436,4,5270,5989,2,14168,10836,1,0,0,0,"NOV0792.1"
169682,175685,96,7,5,117355,134520,18717,17022,5,7116,7556,2,37379,30582,2,0,0,0,"NOV1492.1"
264589,260436,96,25,11,118587,136328,102561,95291,21,32687,33273,6,39989,32494,5,0,0,0,"NOV2192.1"
292666,271505,97,23,13,118739,136337,55584,47982,15,29138,29547,5,87984,56905,8,0,0,0,"NOV2892.1"
132475,146864,96,2,6,124786,143161,2525,2339,1,20705,20849,6,926,876,0,0,0,0,"DEC0592.1"
181175,185060,96,7,6,124114,142510,39088,35144,6,18656,18972,5,24966,18878,1,0,0,0,"DEC1292.1"
201451,201088,95,20,10,123114,141689,57033,47412,16,23998,24643,6,20065,15205,4,0,0,0,"DEC1992.1"
263318,274691,97,7,10,120854,138802,28990,21695,5,48599,46784,8,20542,16593,1,0,0,0,"DEC2692.1"
